x	y
1.277	12.00 
1.4	12.00 
1.384	12.00 
1.315	12.00 
1.428	12.00 
1.505	14.00 
1.267	12.00 
1.564	14.00 
1.594	14.00 
1.868	14.00 
2.162	14.00 
1.973	14.00 
2.104	14.00 
2.758	16.00 
2.892	16.00 
2.921	16.00 
3.045	16.00 
2.844	16.00 
2.895	16.00 
2.844	16.00 
2.678	16.00 
2.541	16.00 
2.925	16.00 
2.951	16.00 
2.855	16.00 
3.012	16.00 
2.315	14.00 
2.454	14.00 
2.513	16.00 
2.454	14.00 
2.147	14.00 
2.078	14.00 
2.051	14.00 
1.853	14.00 
1.9	14.00 
1.84	14.00 
1.692	14.00 
1.679	14.00 
1.672	14.00 
1.685	14.00 
1.858	14.00 
1.855	14.00 
1.731	14.00 
1.792	14.00 
1.946	14.00 
1.244	12.00 
1.061	12.00 
1.295	12.00 
1.321	12.00 
1.301	12.00 
1.41	12.00 
1.609	14.00 
2.046	14.00 
2.043	14.00 
2.097	14.00 
1.941	14.00 
1.976	14.00 
1.824	14.00 
1.914	14.00 
2.169	14.00 
2.034	14.00 
2.028	14.00 
2.009	14.00 
2.012	14.00 
1.943	14.00 
1.897	14.00 
1.863	14.00 
1.905	14.00 
1.757	14.00 
1.81	14.00 
1.904	14.00 
1.914	14.00 
1.872	14.00 
2	14.00 
2.043	14.00 
2.122	14.00 
2.154	14.00 
2.301	14.00 
2.372	14.00 
2.367	14.00 
2.4	14.00 
2.378	14.00 
2.339	14.00 
2.273	14.00 
2.289	14.00 
2.256	14.00 
2.244	14.00 
2.247	14.00 
2.211	14.00 
2.205	14.00 
2.23	14.00 
2.227	14.00 
2.236	14.00 
2.116	14.00 
2.11	14.00 
2.117	14.00 
2.058	14.00 
2.041	14.00 
2.027	14.00 
1.956	14.00 
1.998	14.00 
1.994	14.00 
2.016	14.00 
1.956	14.00 
1.907	14.00 
2.105	14.00 
2.015	14.00 
2.021	14.00 
1.941	14.00 
1.941	14.00 
1.942	14.00 
1.988	14.00 
1.977	14.00 
1.999	14.00 
2.039	14.00 
2.023	14.00 
2.007	14.00 
2.003	14.00 
1.926	14.00 
2.152	14.00 
2.16	14.00 
2.166	14.00 
2.177	14.00 
2.036	14.00 
2.346	14.00 
2.383	14.00 
2.069	14.00 
1.608	14.00 
1.625	14.00 
1.875	14.00 
1.867	14.00 
1.884	14.00 
1.735	14.00 
1.773	14.00 
1.919	14.00 
1.699	14.00 
2.156	14.00 
2.284	14.00 
2.429	14.00 
2.711	16.00 
2.568	16.00 
2.211	14.00 
2.406	14.00 
2.53	16.00 
2.348	14.00 
2.53	16.00 
2.427	14.00 
2.537	16.00 
2.537	16.00 
2.552	16.00 
1.891	14.00 
1.881	14.00 
2.285	14.00 
2.316	14.00 
2.211	14.00 
1.806	14.00 
1.424	12.00 
1.465	12.00 
1.449	12.00 
1.464	12.00 
1.477	12.00 
1.85	14.00 
1.679	14.00 
2.084	14.00 
2.215	14.00 
2.425	14.00 
2.44	14.00 
2.424	14.00 
2.307	14.00 
1.911	14.00 
2.179	14.00 
2.029	14.00 
1.793	14.00 
2.203	14.00 
2.132	14.00 
2.119	14.00 
2.193	14.00 
2.186	14.00 
1.734	14.00 
2.072	14.00 
2.51	16.00 
2.75	16.00 
2.715	16.00 
2.391	14.00 
2.332	14.00 
2.317	14.00 
2.867	16.00 
1.92	14.00 
1.745	14.00 
1.716	14.00 
2.088	14.00 
1.888	14.00 
1.852	14.00 
2.08	14.00 
1.519	14.00 
2.278	14.00 
2.225	14.00 
1.461	12.00 
1.521	14.00 
1.508	14.00 
1.172	12.00 
1.199	12.00 
1.2	12.00 
0.536	12.00 
0.74	12.00 
0.655	12.00 
1.122	12.00 
1.255	12.00 
1.24	12.00 
1.476	12.00 
1.519	14.00 
1.47	12.00 
1.672	14.00 
1.994	14.00 
1.926	14.00 
2.006	14.00 
2.223	14.00 
2.809	16.00 
2.92	16.00 
3.117	16.00 
3.203	16.00 
2.749	16.00 
2.894	16.00 
2.99	16.00 
2.981	16.00 
3.089	16.00 
3.286	16.00 
2.733	16.00 
3.027	16.00 
3.1	16.00 
2.927	16.00 
2.838	16.00 
3.297	16.00 
3.306	16.00 
3.374	16.00 
3.098	16.00 
3.218	16.00 
3.664	18.00 
4.292	18.00 
4.333	18.00 
4.269	18.00 
4.358	18.00 
4.345	18.00 
4.403	18.00 
4.39	18.00 
4.459	18.00 
4.735	20.00 
4.529	20.00 
4.071	18.00 
3.818	18.00 
4.424	18.00 
4.828	20.00 
4.831	20.00 
5.039	20.00 
4.999	20.00 
4.708	20.00 
3.249	16.00 
3.566	18.00 
3.503	18.00 
3.539	18.00 
3.178	16.00 
3.064	16.00 
2.572	16.00 
2.609	16.00 
2.795	16.00 
2.859	16.00 
2.403	14.00 
1.684	14.00 
1.926	14.00 
1.472	12.00 
1.449	12.00 
2.442	14.00 
2.447	14.00 
2.787	16.00 
2.41	14.00 
2.288	14.00 
2.273	14.00 
1.712	14.00 
1.557	14.00 
0.53	12.00 
1.083	12.00 
1.543	14.00 
2.156	14.00 
2.181	14.00 
2.288	14.00 
2.45	14.00 
2.678	16.00 
2.99	16.00 
3.144	16.00 
3.111	16.00 
3.155	16.00 
3.491	16.00 
3.508	18.00 
3.611	18.00 
3.705	18.00 
3.764	18.00 
4.124	18.00 
4.329	18.00 
4.297	18.00 
4.314	18.00 
4.509	20.00 
4.663	20.00 
5.318	20.00 
5.365	20.00 
5.213	20.00 
2.222	14.00 
2.513	16.00 
2.582	16.00 
2.078	14.00 
2.032	14.00 
2.111	14.00 
2.233	14.00 
2.228	14.00 
1.953	14.00 
2.153	14.00 
2.144	14.00 
2.517	16.00 
2.381	14.00 
2.404	14.00 
2.293	14.00 
2.076	14.00 
1.676	14.00 
1.563	14.00 
1.773	14.00 
2.763	16.00 
2.914	16.00 
2.705	16.00 
2.493	14.00 
2.559	16.00 
2.528	16.00 
1.841	14.00 
2.074	14.00 
0.937	12.00 
1.047	12.00 
1.516	14.00 
1.983	14.00 
1.72	14.00 
2.008	14.00 
2.308	14.00 
2.441	14.00 
2.369	14.00 
3.047	16.00 
3.242	16.00 
3.332	16.00 
3.384	16.00 
3.713	18.00 
3.59	18.00 
3.605	18.00 
3.831	18.00 
3.94	18.00 
4.124	18.00 
4.192	18.00 
4.469	18.00 
4.85	20.00 
5.001	20.00 
5.402	20.00 
5.374	20.00 
5.418	20.00 
5.306	20.00 
5.498	20.00 
6.005	22.00 
6.265	22.00 
7.319	24.00 
7.272	24.00 
7.478	24.00 
7.538	26.00 
8.079	26.00 
8.259	26.00 
8.263	26.00 
9.183	28.00 
9.234	28.00 
10.024	30.00 
9.985	30.00 
9.979	30.00 
10.354	30.00 
10.332	30.00 
10.479	30.00 
10.479	30.00 
10.383	30.00 
10.307	30.00 
10.447	30.00 
10.439	30.00 
10.495	30.00 
10.624	32.00 
10.591	32.00 
10.462	30.00 
10.59	32.00 
10.875	32.00 
10.859	32.00 
10.914	32.00 
10.818	32.00 
10.85	32.00 
10.67	32.00 
10.705	32.00 
10.459	30.00 
10.495	30.00 
10.426	30.00 
10.485	30.00 
10.745	32.00 
10.399	30.00 
10.633	32.00 
10.638	32.00 
11.185	32.00 
11.198	32.00 
11.41	32.00 
11.815	34.00 
12.19	34.00 
12.275	34.00 
12.353	34.00 
12.529	36.00 
13.006	36.00 
13.003	36.00 
13.205	36.00 
13.698	38.00 
14.082	38.00 
14.356	38.00 
14.859	40.00 
15.154	40.00 
15.532	42.00 
15.85	42.00 
15.77	42.00 
15.865	42.00 
16.008	42.00 
16.186	42.00 
16.449	42.00 
16.644	44.00 
17.079	44.00 
17.282	44.00 
17.338	44.00 
17.351	44.00 
17.323	44.00 
17.391	44.00 
17.428	44.00 
17.407	44.00 
17.575	46.00 
17.59	46.00 
18.308	46.00 
18.618	48.00 
18.752	48.00 
18.796	48.00 
18.792	48.00 
18.831	48.00 
18.763	48.00 
19.078	48.00 
19.145	48.00 
19.311	48.00 
19.01	48.00 
19.068	48.00 
19.065	48.00 
19.065	48.00 
19.013	48.00 
19.191	48.00 
19.711	50.00 
19.847	50.00 
19.869	50.00 
19.791	50.00 
20.111	50.00 
20.116	50.00 
20.212	50.00 
20.251	50.00 
20.255	50.00 
20.191	50.00 
20.233	50.00 
20.42	50.00 
20.486	50.00 
20.633	52.00 
20.706	52.00 
20.617	52.00 
20.689	52.00 
20.685	52.00 
20.722	52.00 
20.635	52.00 
20.6	52.00 
20.612	52.00 
20.55	52.00 
20.524	52.00 
20.413	50.00 
20.444	50.00 
20.505	52.00 
20.541	52.00 
20.707	52.00 
20.706	52.00 
20.659	52.00 
20.649	52.00 
20.635	52.00 
20.987	52.00 
20.791	52.00 
20.603	52.00 
20.809	52.00 
20.759	52.00 
20.796	52.00 
20.794	52.00 
21.147	52.00 
21.145	52.00 
21.426	52.00 
21.345	52.00 
21.354	52.00 
21.781	54.00 
21.895	54.00 
22.106	54.00 
22.139	54.00 
22.05	54.00 
22.044	54.00 
22.346	54.00 
22.282	54.00 
22.326	54.00 
22.321	54.00 
22.344	54.00 
22.395	54.00 
22.785	56.00 
22.78	56.00 
22.76	56.00 
22.846	56.00 
22.983	56.00 
23.102	56.00 
23.392	56.00 
23.681	58.00 
23.978	58.00 
24.325	58.00 
24.678	60.00 
24.637	60.00 
24.751	60.00 
25.126	60.00 
25.101	60.00 
25.037	60.00 
25.028	60.00 
25.032	60.00 
25.064	60.00 
25.088	60.00 
25.382	60.00 
25.286	60.00 
25.674	62.00 
25.655	62.00 
25.64	62.00 
25.779	62.00 
25.861	62.00 
25.867	62.00 
26.128	62.00 
26.149	62.00 
26.078	62.00 
26.156	62.00 
26.123	62.00 
26.182	62.00 
26.65	64.00 
26.914	64.00 
26.904	64.00 
27.215	64.00 
27.795	66.00 
27.755	66.00 
28.314	66.00 
28.641	68.00 
28.62	68.00 
29.431	68.00 
29.355	68.00 
29.363	68.00 
29.751	70.00 
29.971	70.00 
29.693	70.00 
29.748	70.00 
29.677	70.00 
29.891	70.00 
30.617	72.00 
30.588	72.00 
30.568	72.00 
30.676	72.00 
30.718	72.00 
30.77	72.00 
30.804	72.00 
31.053	72.00 
31.133	72.00 
31.176	72.00 
31.874	74.00 
31.825	74.00 
31.785	74.00 
32.079	74.00 
32.16	74.00 
32.186	74.00 
32.234	74.00 
32.593	76.00 
33.362	76.00 
33.512	78.00 
33.431	76.00 
33.469	76.00 
33.584	78.00 
33.625	78.00 
33.676	78.00 
33.765	78.00 
33.758	78.00 
33.926	78.00 
34.329	78.00 
34.973	80.00 
35.123	80.00 
35.116	80.00 
35.534	82.00 
35.803	82.00 
35.785	82.00 
35.838	82.00 
35.708	82.00 
35.736	82.00 
35.742	82.00 
35.72	82.00 
35.654	82.00 
35.876	82.00 
35.803	82.00 
35.772	82.00 
35.784	82.00 
35.8	82.00 
35.856	82.00 
35.944	82.00 
35.966	82.00 
36.1	82.00 
36.407	82.00 
36.652	84.00 
36.642	84.00 
36.609	84.00 
36.852	84.00 
36.515	84.00 
36.075	82.00 
33.895	78.00 
33.082	76.00 
32.65	76.00 
32.409	74.00 
31.88	74.00 
29.858	70.00 
29.728	70.00 
28.953	68.00 
25.814	62.00 
25.75	62.00 
22.164	54.00 
20.365	50.00 
19.87	50.00 
19.47	48.00 
19.245	48.00 
13.521	38.00 
13.358	36.00 
12.534	36.00 
12.722	36.00 
11.006	32.00 
8.914	28.00 
9.124	28.00 
9.082	28.00 
9.072	28.00 
8.49	26.00 
7.309	24.00 
6.666	24.00 
2.101	14.00 
1.671	14.00 
1.696	14.00 
1.399	12.00 
2.128	14.00 
2.347	14.00 
3.041	16.00 
2.787	16.00 
2.686	16.00 
2.104	14.00 
2.059	14.00 
2.079	14.00 
2.088	14.00 
1.576	14.00 
0.953	12.00 
0.882	12.00 
0.542	12.00 
0.545	12.00 
0.531	12.00 
1.708	14.00 
1.958	14.00 
2.395	14.00 
2.275	14.00 
2.491	14.00 
1.963	14.00 
1.953	14.00 
1.981	14.00 
1.85	14.00 
1.291	12.00 
1.078	12.00 
1.071	12.00 
1.257	12.00 
1.314	12.00 
1.394	12.00 
1.6	14.00 
1.286	12.00 
1.267	12.00 
1.125	12.00 
1.073	12.00 
1.822	14.00 
2.422	14.00 
2.501	16.00 
3.579	18.00 
3.517	18.00 
3.787	18.00 
3.735	18.00 
4.015	18.00 
4.3	18.00 
4.288	18.00 
4.285	18.00 
4.291	18.00 
4.612	20.00 
5.762	22.00 
5.692	22.00 
6.086	22.00 
6.617	24.00 
6.769	24.00 
7.866	26.00 
8.041	26.00 
7.907	26.00 
8.337	26.00 
8.315	26.00 
8.119	26.00 
8.617	28.00 
9.992	30.00 
9.946	30.00 
10.385	30.00 
10.394	30.00 
10.319	30.00 
10.462	30.00 
11.873	34.00 
11.859	34.00 
11.618	34.00 
11.662	34.00 
11.537	34.00 
11.62	34.00 
11.681	34.00 
11.609	34.00 
12.531	36.00 
12.9	36.00 
13.139	36.00 
13.171	36.00 
13.39	36.00 
13.605	38.00 
13.569	38.00 
13.899	38.00 
13.461	36.00 
13.799	38.00 
13.066	36.00 
13.453	36.00 
13.27	36.00 
13.253	36.00 
13.438	36.00 
13.455	36.00 
13.481	36.00 
13.25	36.00 
13.594	38.00 
13.612	38.00 
13.514	38.00 
13.534	38.00 
13.584	38.00 
13.554	38.00 
13.882	38.00 
13.881	38.00 
13.91	38.00 
13.953	38.00 
14.406	38.00 
14.116	38.00 
14.726	40.00 
14.699	40.00 
15.417	40.00 
15.553	42.00 
15.369	40.00 
15.344	40.00 
15.291	40.00 
15.994	42.00 
16.791	44.00 
16.936	44.00 
16.931	44.00 
17.457	44.00 
17.381	44.00 
16.76	44.00 
16.535	44.00 
16.669	44.00 
16.679	44.00 
17.253	44.00 
17.63	46.00 
17.987	46.00 
17.97	46.00 
17.863	46.00 
17.999	46.00 
18.958	48.00 
19.097	48.00 
19.071	48.00 
19.23	48.00 
19.296	48.00 
19.351	48.00 
20.155	50.00 
19.988	50.00 
19.726	50.00 
19.85	50.00 
19.694	50.00 
20.157	50.00 
20.647	52.00 
20.738	52.00 
21.111	52.00 
22.346	54.00 
23.339	56.00 
22.649	56.00 
22.618	56.00 
22.619	56.00 
22.495	54.00 
22.222	54.00 
22.481	54.00 
22.545	56.00 
23.076	56.00 
23.051	56.00 
23.024	56.00 
23.138	56.00 
23.252	56.00 
23.265	56.00 
23.198	56.00 
23.412	56.00 
23.079	56.00 
23.747	58.00 
24.941	60.00 
26.824	64.00 
26.819	64.00 
27.572	66.00 
27.326	64.00 
27.181	64.00 
27.01	64.00 
27.387	64.00 
27.146	64.00 
26.994	64.00 
26.616	64.00 
26.632	64.00 
26.613	64.00 
26.218	62.00 
26.023	62.00 
26.573	64.00 
26.454	62.00 
26.458	62.00 
26.501	64.00 
26.138	62.00 
26.074	62.00 
16.166	42.00 
15.125	40.00 
13.042	36.00 
12.652	36.00 
9.656	30.00 
9.476	28.00 
8.358	26.00 
8.334	26.00 
8.509	28.00 
2.419	14.00 
2.649	16.00 
2.965	16.00 
3.052	16.00 
3.613	18.00 
3.832	18.00 
3.785	18.00 
3.597	18.00 
3.753	18.00 
3.848	18.00 
4.124	18.00 
4.531	20.00 
4.576	20.00 
4.236	18.00 
4.314	18.00 
4.501	20.00 
4.464	18.00 
4.546	20.00 
4.44	18.00 
4.436	18.00 
4.757	20.00 
4.587	20.00 
4.851	20.00 
4.855	20.00 
4.817	20.00 
4.789	20.00 
5.348	20.00 
5.644	22.00 
6.53	24.00 
6.674	24.00 
6.721	24.00 
6.858	24.00 
6.84	24.00 
6.814	24.00 
6.649	24.00 
6.613	24.00 
6.63	24.00 
6.363	22.00 
6.602	24.00 
6.439	22.00 
6.458	22.00 
6.505	24.00 
6.477	22.00 
6.72	24.00 
6.784	24.00 
6.77	24.00 
6.758	24.00 
7.142	24.00 
7.111	24.00 
7.169	24.00 
7.414	24.00 
7.833	26.00 
7.789	26.00 
7.459	24.00 
7.499	24.00 
7.61	26.00 
8.015	26.00 
7.918	26.00 
7.795	26.00 
7.517	26.00 
7.563	26.00 
8.882	28.00 
8.949	28.00 
9.09	28.00 
9.212	28.00 
9.164	28.00 
9.155	28.00 
9.024	28.00 
8.865	28.00 
8.947	28.00 
9.009	28.00 
9.051	28.00 
9.517	30.00 
9.376	28.00 
9.796	30.00 
10.583	32.00 
10.573	32.00 
10.492	30.00 
10.826	32.00 
10.867	32.00 
10.833	32.00 
11.083	32.00 
11.5	34.00 
11.751	34.00 
11.837	34.00 
12.032	34.00 
12.238	34.00 
12.417	34.00 
12.275	34.00 
11.941	34.00 
11.998	34.00 
12.477	34.00 
12.587	36.00 
13.274	36.00 
13.154	36.00 
13.418	36.00 
13.343	36.00 
13.419	36.00 
13.558	38.00 
13.943	38.00 
14.366	38.00 
14.77	40.00 
14.956	40.00 
15.127	40.00 
15.453	40.00 
15.308	40.00 
15.348	40.00 
15.606	42.00 
15.683	42.00 
16.031	42.00 
16.227	42.00 
16.054	42.00 
16.609	44.00 
16.611	44.00 
16.657	44.00 
16.787	44.00 
16.834	44.00 
17.075	44.00 
18.563	48.00 
18.508	48.00 
18.524	48.00 
19.078	48.00 
19.057	48.00 
19.031	48.00 
19.101	48.00 
19.38	48.00 
19.519	50.00 
19.524	50.00 
19.582	50.00 
19.639	50.00 
19.693	50.00 
19.135	48.00 
19.394	48.00 
19.586	50.00 
19.632	50.00 
19.594	50.00 
19.833	50.00 
19.961	50.00 
19.986	50.00 
20.19	50.00 
20.291	50.00 
20.716	52.00 
20.718	52.00 
20.752	52.00 
20.793	52.00 
20.755	52.00 
20.961	52.00 
21.116	52.00 
20.568	52.00 
20.559	52.00 
22.329	54.00 
22.263	54.00 
22.487	54.00 
22.352	54.00 
22.391	54.00 
22.473	54.00 
22.539	56.00 
22.625	56.00 
22.813	56.00 
22.931	56.00 
22.913	56.00 
22.898	56.00 
23.275	56.00 
23.191	56.00 
23.355	56.00 
23.015	56.00 
23.014	56.00 
22.986	56.00 
22.819	56.00 
22.736	56.00 
22.757	56.00 
22.727	56.00 
23.095	56.00 
23.213	56.00 
23.19	56.00 
22.95	56.00 
23.002	56.00 
23.112	56.00 
22.932	56.00 
23.061	56.00 
23.073	56.00 
23.034	56.00 
23.117	56.00 
23.476	56.00 
23.75	58.00 
24.001	58.00 
23.985	58.00 
23.856	58.00 
24.26	58.00 
24.363	58.00 
24.938	60.00 
25.395	60.00 
26.139	62.00 
26.118	62.00 
26.124	62.00 
26.186	62.00 
26.128	62.00 
26.207	62.00 
26.184	62.00 
26.206	62.00 
26.358	62.00 
26.365	62.00 
26.537	64.00 
26.769	64.00 
26.817	64.00 
26.804	64.00 
26.757	64.00 
27.06	64.00 
26.935	64.00 
26.625	64.00 
26.846	64.00 
27.264	64.00 
27.66	66.00 
27.688	66.00 
27.858	66.00 
28.104	66.00 
28.346	66.00 
28.508	68.00 
28.632	68.00 
28.696	68.00 
28.618	68.00 
28.983	68.00 
29.116	68.00 
29.079	68.00 
29	68.00 
29.008	68.00 
29.527	70.00 
29.557	70.00 
29.484	68.00 
29.554	70.00 
29.197	68.00 
29.319	68.00 
29.491	68.00 
29.321	68.00 
29.2	68.00 
29.678	70.00 
29.507	70.00 
29.451	68.00 
29.613	70.00 
29.99	70.00 
29.968	70.00 
29.697	70.00 
30.512	72.00 
30.683	72.00 
30.715	72.00 
30.726	72.00 
30.753	72.00 
30.844	72.00 
31.051	72.00 
30.986	72.00 
31.657	74.00 
31.582	74.00 
31.678	74.00 
31.468	72.00 
31.429	72.00 
30.865	72.00 
30.767	72.00 
30.793	72.00 
30.774	72.00 
31.11	72.00 
31.427	72.00 
31.33	72.00 
31.417	72.00 
31.887	74.00 
31.97	74.00 
31.98	74.00 
31.726	74.00 
31.922	74.00 
32.162	74.00 
32.086	74.00 
32.093	74.00 
32.14	74.00 
32.2	74.00 
32.222	74.00 
32.678	76.00 
32.574	76.00 
32.637	76.00 
32.936	76.00 
32.704	76.00 
33.412	76.00 
33.377	76.00 
33.656	78.00 
33.359	76.00 
33.315	76.00 
33.573	78.00 
33.741	78.00 
33.721	78.00 
33.659	78.00 
33.635	78.00 
33.7	78.00 
33.688	78.00 
33.681	78.00 
33.786	78.00 
33.664	78.00 
23.47	56.00 
23.604	58.00 
24.287	58.00 
22.1	54.00 
20.486	50.00 
19.411	48.00 
18.64	48.00 
17.66	46.00 
17.481	44.00 
16.179	42.00 
16.101	42.00 
16.323	42.00 
16.144	42.00 
15.279	40.00 
13.303	36.00 
12.587	36.00 
10.623	32.00 
6.869	24.00 
6.884	24.00 
6.713	24.00 
6.657	24.00 
5.737	22.00 
5.571	22.00 
4.087	18.00 
2.154	14.00 
2.769	16.00 
2.683	16.00 
2.784	16.00 
2.591	16.00 
2.191	14.00 
2.402	14.00 
2.634	16.00 
2.543	16.00 
2.966	16.00 
3.098	16.00 
2.382	14.00 
1.929	14.00 
2.096	14.00 
2.201	14.00 
2.397	14.00 
2.789	16.00 
1.697	14.00 
0.802	12.00 
0.516	12.00 
0.584	12.00 
0.994	12.00 
1.248	12.00 
1.31	12.00 
1.403	12.00 
1.306	12.00 
1.49	12.00 
1.434	12.00 
1.26	12.00 
1.112	12.00 
0.727	12.00 
0.671	12.00 
0.814	12.00 
0.755	12.00 
0.7	12.00 
0.587	12.00 
0.61	12.00 
0.904	12.00 
0.574	12.00 
0.748	12.00 
0.542	12.00 
0.656	12.00 
0.755	12.00 
0.648	12.00 
0.713	12.00 
0.878	12.00 
1.272	12.00 
0.94	12.00 
0.723	12.00 
0.691	12.00 
0.858	12.00 
0.517	12.00 
0.667	12.00 
1.075	12.00 
0.545	12.00 
0.664	12.00 
0.649	12.00 
0.506	12.00 
0.995	12.00 
2.111	14.00 
1.753	14.00 
1.314	12.00 
1.461	12.00 
1.591	14.00 
1.343	12.00 
1.089	12.00 
1.675	14.00 
1.92	14.00 
1.719	14.00 
1.682	14.00 
1.715	14.00 
1.851	14.00 
2.156	14.00 
2.3	14.00 
2.036	14.00 
1.898	14.00 
0.85	12.00 
1.657	14.00 
2.066	14.00 
2.116	14.00 
2.017	14.00 
1.911	14.00 
1.892	14.00 
1.884	14.00 
2.689	16.00 
2.7	16.00 
2.527	16.00 
2.397	14.00 
2.619	16.00 
2.054	14.00 
2.002	14.00 
1.998	14.00 
1.91	14.00 
1.87	14.00 
1.873	14.00 
2.044	14.00 
2.309	14.00 
1.762	14.00 
1.781	14.00 
1.809	14.00 
1.413	12.00 
1.075	12.00 
0.883	12.00 
0.894	12.00 
1.117	12.00 
1.598	14.00 
1.405	12.00 
1.315	12.00 
0.659	12.00 
0.551	12.00 
1.01	12.00 
0.649	12.00 
1.175	12.00 
2.134	14.00 
2.1	14.00 
1.792	14.00 
1.725	14.00 
1.966	14.00 
1.819	14.00 
2.242	14.00 
2.356	14.00 
1.85	14.00 
1.9	14.00 
1.671	14.00 
0.991	12.00 
1.204	12.00 
1.17	12.00 
0.755	12.00 
0.575	12.00 
0.593	12.00 
0.711	12.00 
0.647	12.00 
0.788	12.00 
1.124	12.00 
0.582	12.00 
0.693	12.00 
0.699	12.00 
0.568	12.00 
0.787	12.00 
1.112	12.00 
1.025	12.00 
0.8	12.00 
0.831	12.00 
0.896	12.00 
0.553	12.00 
0.535	12.00 
0.571	12.00 
0.932	12.00 
0.937	12.00 
0.765	12.00 
1.33	12.00 
1.764	14.00 
1.685	14.00 
1.648	14.00 
1.028	12.00 
1.728	14.00 
1.799	14.00 
1.791	14.00 
2.041	14.00 
1.919	14.00 
1.878	14.00 
1.234	12.00 
1.256	12.00 
1.782	14.00 
1.744	14.00 
2.484	14.00 
2.498	14.00 
2.89	16.00 
2.953	16.00 
3.487	16.00 
3.493	16.00 
3.679	18.00 
3.709	18.00 
3.9	18.00 
3.661	18.00 
4.024	18.00 
4.01	18.00 
3.821	18.00 
3.213	16.00 
3.34	16.00 
3.331	16.00 
3.331	16.00 
3.229	16.00 
3.203	16.00 
3.138	16.00 
3.541	18.00 
3.64	18.00 
3.321	16.00 
3.337	16.00 
3.45	16.00 
3.824	18.00 
3.985	18.00 
4.174	18.00 
4.181	18.00 
3.821	18.00 
3.993	18.00 
4.183	18.00 
4.19	18.00 
3.918	18.00 
3.953	18.00 
3.92	18.00 
4.623	20.00 
4.624	20.00 
4.65	20.00 
4.943	20.00 
5.443	20.00 
5.307	20.00 
5.069	20.00 
4.906	20.00 
5.007	20.00 
4.913	20.00 
4.956	20.00 
4.88	20.00 
4.59	20.00 
4.375	18.00 
4.58	20.00 
4.343	18.00 
4.429	18.00 
4.441	18.00 
4.492	18.00 
4.417	18.00 
4.444	18.00 
4.068	18.00 
3.904	18.00 
3.947	18.00 
4.043	18.00 
4.497	18.00 
4.362	18.00 
4.238	18.00 
4.244	18.00 
3.247	16.00 
2.892	16.00 
3.036	16.00 
2.981	16.00 
3.031	16.00 
2.659	16.00 
2.764	16.00 
2.6	16.00 
2.666	16.00 
2.617	16.00 
2.624	16.00 
3.294	16.00 
3.221	16.00 
3.456	16.00 
3.447	16.00 
3.468	16.00 
3.323	16.00 
3.688	18.00 
4.038	18.00 
4.093	18.00 
4.478	18.00 
4.172	18.00 
4.267	18.00 
4.622	20.00 
4.63	20.00 
